question,document
What is a Large Language Model and how does it work at a basic level?,01-agentic-rag/lessons/01-intro.md
What are the main limitations that LLMs face when answering questions?,01-agentic-rag/lessons/01-intro.md
How does RAG address the problems with LLMs not having access to current or private information?,01-agentic-rag/lessons/01-intro.md
What will be built in this module and what problem does it solve?,01-agentic-rag/lessons/01-intro.md
What are the main differences between Part 1 and Part 2 of this course module?,01-agentic-rag/lessons/01-intro.md
What tools and libraries do I need to install to get started with this course?,01-agentic-rag/lessons/02-environment.md
How should I safely store my OpenAI API key so it doesn't accidentally get shared?,01-agentic-rag/lessons/02-environment.md
What's the difference between using uv versus pip for managing Python packages?,01-agentic-rag/lessons/02-environment.md
"Can I use a different LLM provider instead of OpenAI, and if so how do I set it up?",01-agentic-rag/lessons/02-environment.md
What does each of the packages in the initial setup do?,01-agentic-rag/lessons/02-environment.md
Why can't I just ask a large language model about course-specific details like enrollment policies?,01-agentic-rag/lessons/03-rag.md
What's the difference between just using an LLM versus the RAG approach that's described here?,01-agentic-rag/lessons/03-rag.md
How does the system know which FAQ entries are relevant to a student's question instead of manually picking them?,01-agentic-rag/lessons/03-rag.md
What are the main components that make up a RAG system and how do they work together?,01-agentic-rag/lessons/03-rag.md
"If I wanted to use a different search engine or LLM provider, would I have to rebuild the entire system?",01-agentic-rag/lessons/03-rag.md
Where can I get the FAQ data that we're going to use for building the RAG system?,01-agentic-rag/lessons/04-dataset.md
What are the different fields that come in each FAQ entry and what do they represent?,01-agentic-rag/lessons/04-dataset.md
How does the FAQ dataset get used within the RAG pipeline to answer student questions?,01-agentic-rag/lessons/04-dataset.md
Why do the courses have slugs and how would we use them when searching through the FAQ data?,01-agentic-rag/lessons/04-dataset.md
What's the main challenge with preparing data for RAG systems in real-world projects?,01-agentic-rag/lessons/04-dataset.md
How do search engines determine which documents to return for a given query?,01-agentic-rag/lessons/05-search.md
What's the difference between how text search and semantic search evaluate relevance?,01-agentic-rag/lessons/05-search.md
Why is minsearch a better choice than Elasticsearch for this course project?,01-agentic-rag/lessons/05-search.md
What are text fields versus keyword fields and why would you use each one in a search index?,01-agentic-rag/lessons/05-search.md
How can you make certain fields more important when ranking search results?,01-agentic-rag/lessons/05-search.md
Why do we need to separate the instructions from the user prompt when building an AI system?,01-agentic-rag/lessons/06-building-prompt.md
How should I format the search results so the LLM can understand them easily?,01-agentic-rag/lessons/06-building-prompt.md
What's the purpose of telling the LLM to say 'I don't know' if the answer isn't in the provided context?,01-agentic-rag/lessons/06-building-prompt.md
How do I combine a user's question with retrieved search results into a single prompt that I can send to an LLM?,01-agentic-rag/lessons/06-building-prompt.md
Why is it important to have a good prompt structure when you're trying to prevent the model from making up information?,01-agentic-rag/lessons/06-building-prompt.md
How do you extract the actual text answer from an OpenAI Responses API response object?,01-agentic-rag/lessons/07-llm.md
What are the pricing details for the gpt-5.4-mini model and how would you calculate the cost of a single API request?,01-agentic-rag/lessons/07-llm.md
Why do you need to pass a message history with different roles instead of just sending a single string to the LLM?,01-agentic-rag/lessons/07-llm.md
"What's the difference between using OpenAI's Responses API versus the Chat Completions API, and why is one preferred now?",01-agentic-rag/lessons/07-llm.md
How does the complete RAG pipeline work from receiving a user question all the way to returning a final answer?,01-agentic-rag/lessons/07-llm.md
Why should we put the RAG pipeline code into separate reusable files instead of repeating it every time we need it?,01-agentic-rag/lessons/08-rag-helper.md
What's the main reason we organized the RAG logic as a class instead of keeping functions with global variables?,01-agentic-rag/lessons/08-rag-helper.md
How does the RAGBase class handle flexibility when we want to use a different search index or language model later on?,01-agentic-rag/lessons/08-rag-helper.md
What parameters does the RAGBase constructor require versus which ones have defaults that we can override?,01-agentic-rag/lessons/08-rag-helper.md
"How do the search, build_context, build_prompt, and llm methods work together in the rag method to produce an answer?",01-agentic-rag/lessons/08-rag-helper.md
Why do you need to separate data ingestion from querying instead of just loading everything when your app starts?,01-agentic-rag/lessons/09-data-ingestion.md
What's the advantage of using sqlitesearch over keeping the search index in memory like minsearch does?,01-agentic-rag/lessons/09-data-ingestion.md
How can you query the search index while documents are still being added to it in another process?,01-agentic-rag/lessons/09-data-ingestion.md
What happens to your search index when you restart your application if you're using minsearch versus sqlitesearch?,01-agentic-rag/lessons/09-data-ingestion.md
When should you switch from minsearch to a persistent search backend like sqlitesearch?,01-agentic-rag/lessons/09-data-ingestion.md
What are the main components that make up a RAG system and how do they work together?,01-agentic-rag/lessons/10-rag-next-steps.md
How does an agent improve upon a basic RAG pipeline when search results aren't helpful?,01-agentic-rag/lessons/10-rag-next-steps.md
What are the key advantages of using RAG instead of fine-tuning a language model on your data?,01-agentic-rag/lessons/10-rag-next-steps.md
