question,answer_agent,answer_orig,tool_calls,cost,document
Is it too late to start this course if I just found out about it?,"Good news! It's **not too late** to start this course. According to the FAQ:

**You can start whenever you want.** The videos and course materials on GitHub are available, so you can begin learning immediately regardless of when you find out about the course.

Here's the typical workflow:
1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers through the course platform before the deadline

A few things to keep in mind:
- **Deadlines still apply** - While you can start anytime, homework submissions do have deadlines listed in the course management platform
- **Self-paced vs. Live cohort** - If you're interested in getting a certificate, you'll need to complete the course with a ""live"" cohort (not in pure self-paced mode), since certificates require peer-reviewing 3 capstone projects
- **No registration needed** - You don't need a confirmation email or to be on a registered list to start learning and submitting homework

I'd recommend checking the course platform for the current deadlines and materials so you can catch up with the rest of the cohort. Good luck getting started!","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': {'query': 'late enrollment joining course after start'}}]",0.003812,74eb249bbf
Do I need to join before a certain date to get a certificate?,"Based on the FAQ results, here's what you need to know about getting a certificate:

**Key points:**

1. **You can join late**, but there are conditions:
   - You need to **submit your capstone project while the course is still accepting submissions** to receive a certificate

2. **Live cohort requirement**: 
   - Certificates are only awarded if you complete the course with a ""live"" cohort
   - You cannot get a certificate in self-paced mode because peer review (reviewing 3 capstone projects) is required, and peer reviews only happen while the course is actively running

3. **Homework is optional**:
   - You don't need to complete all homework assignments to get a certificate
   - You only need to pass the capstone project

So the critical deadline is the **project submission deadline** - make sure you submit your capstone project before that deadline closes. After that point, the course moves into the peer-review phase, and no new projects can be submitted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': {'query': 'certificate join date deadline enrollment'}}]",0.00338,74eb249bbf
Can I still enroll and complete the course if I'm joining late?,"Based on the FAQ results, here's what you need to know about joining late:

**Yes, you can still join the course**, but there are some important considerations:

1. **Course Completion**: You can absolutely work through the course materials in self-paced mode. All the videos and materials are available, and you can start whenever you want.

2. **Certificate Requirement**: If you want to receive a **certificate**, you need to be aware that:
   - You must submit your capstone project while submissions are still being accepted
   - You can only get a certificate if you finish the course with a ""live"" cohort (not in pure self-paced mode)
   - A certificate requires peer-reviewing 3 capstone projects, which can only be done during the active course period when the peer-review process is running

3. **Deadlines**: Check the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) for current deadlines to see if you can still meet the submission requirements.

**Bottom line**: You can join and complete the course materials anytime, but if you want a certificate, make sure to submit your project and participate in peer reviews before the submission window closes.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': {'query': 'late enrollment join course'}}]",0.003972,74eb249bbf
What's the deadline for submitting my project to earn the certificate?,"Based on the FAQ results, I can see information about the project submission process and certificate requirements, but the specific deadline dates aren't shown in these results. Here's what I found:

**Key Points About Certificate Requirements:**
- You need to **pass the Capstone project** to earn the certificate
- Homework is optional and doesn't affect certification
- To earn the certificate, you must not only submit your project but also **participate in peer-reviewing 3 capstone projects** from your cohort after the submission deadline

**About Project Submission:**
- There are **two submission windows** (Attempt #1 and Attempt #2)
- If you miss the first deadline, you can still submit during the second window
- After the submission deadline passes, projects are assigned for peer-review

To find the specific deadline dates for your cohort, I'd recommend:
1. Checking the course homepage or syllabus
2. Looking in your course emails or announcements
3. Checking the course platform (Slack channel, course website, etc.)

Do you know which specific cohort you're enrolled in? That would help me provide more precise deadline information if it's available in the FAQ.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': {'query': 'project submission deadline certificate'}}]",0.003669,74eb249bbf
"If I start now, will I be able to get certified for this course?","Based on the FAQ, **whether you can get certified depends on how the course is currently running**:

**Key Information:**
- **You can only earn a certificate if you complete the course with a ""live"" cohort** — not in self-paced mode
- The reason is that certification requires peer-reviewing 3 capstone projects, which can only be done while the course is actively running
- You can start whenever you want and work at your own pace, but to get certified, you must:
  1. Submit your homework before the deadlines
  2. Complete and submit your capstone project
  3. Peer-review 3 other capstone projects (only possible during the active course period)

**To find out if you can get certified now, check:**
- The [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) to see current deadlines
- Whether the current cohort is still accepting submissions and when the peer-review period will open

If the course cohort is still active and hasn't closed submissions, you should be able to get certified. If it's closed, you'd need to wait for the next cohort (scheduled for Summer 2027).","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': {'query': 'course completion time how long certification'}}]",0.005178,74eb249bbf
Do I actually need to wait for a confirmation email after signing up for this course?,"No, you don't need to wait for a confirmation email! According to the FAQ, once you've registered for the course, you're accepted. You can go ahead and start learning and submitting homework right away without needing to receive or confirm anything via email.

Registration is primarily used to gauge interest before the course start date, and it's not checked against any registered list. So feel free to dive in whenever you're ready!",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': {'query': 'confirmation email after signing up'}}]",0.002801,977bf7786c
Will my registration be verified when I submit my homework assignments?,"Based on the FAQ, **your registration will not be verified when you submit homework assignments**. 

According to the course information: Registration is not checked against any registered list. You can start learning and submitting homework without worrying about whether you've formally registered. Registration is simply used to gauge interest before the course starts, but it's not a prerequisite for submitting assignments.

So you can go ahead and submit your homework without concern about registration verification!",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': {'query': 'registration verified homework assignments submit'}}, {'name': 'search', 'arguments': {'query': 'registration verification'}}]",0.005555,977bf7786c
Can I start doing the coursework right now without getting any official confirmation?,"Great question! Based on the FAQ, **yes, you can absolutely start the coursework right now without waiting for official confirmation.**

Here's what the course guidelines say:

- **You don't need a confirmation email** - Registration is just to gauge interest before the start date, and it's not checked against any registered list
- **You can start immediately** - All the videos and GitHub materials are already available
- **You can submit homework anytime** - Homework can be submitted through the course platform while the submission form is open, regardless of whether you've received any official confirmation

**The typical workflow is:**
1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers through the course platform before the deadline

The key thing to remember is to **check the course platform for deadlines** so you know when homework needs to be submitted, but there's no need to wait for any confirmation—you're good to go ahead and start learning right now!",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': {'query': 'coursework start official confirmation requirements'}}]",0.004088,977bf7786c
Is registration mandatory or can I just begin learning without going through that step?,"Based on the FAQ, **registration is not mandatory**. You can start learning and submitting homework without registering for the course. 

According to the course information:
- Registration is **optional** and is just used to gauge interest before the start date
- You don't need to wait for a confirmation email to begin
- You can simply start learning and submitting homework (while the form is open) without being on a registered list

So feel free to dive right in and begin the course whenever you're ready!",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': {'query': 'registration mandatory required'}}]",0.003090,977bf7786c
Why don't they send confirmation emails and how does that affect my participation?,"Great question! According to the FAQ:

**You don't actually need a confirmation email.** Here's how it works:

- **You're already accepted** - If you've registered, that's all you need. You're in!
- **No verification against a list** - Your registration isn't checked against any registered list, so whether you formally registered or not doesn't affect your ability to participate
- **You can start immediately** - You can begin learning and submitting homework right away while the submission form is open
- **Registration's purpose** - Registration is only used to gauge interest before the course start date, not to gatekeep participation

So the lack of a confirmation email shouldn't affect your participation at all. You can go ahead and start engaging with the course materials and submitting assignments whenever you're ready!",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': {'query': 'confirmation email'}}]",0.003044,977bf7786c
Where can I find the YouTube link for the live office hours sessions?,"Based on the FAQ, here's where you can find the YouTube link for live office hours sessions:

1. **YouTube Live Stream**: Watch live on the [DataTalksClub YouTube Channel](https://www.youtube.com/c/DataTalksClub)

2. **Announcements**: The video URL is posted in the **announcements channel on Telegram and Slack** before the session begins (the Telegram link is: https://t.me/dezoomcamp)

3. **Slido for Questions**: When watching live, there will be a Slido link pinned in the chat where you can submit your questions.

**Important note**: Don't post questions in the YouTube chat as they may be missed if the room is very active. Use Slido instead to submit your questions during the live session.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': {'query': 'YouTube link live office hours'}}]",0.003588,489dd1c9d9
How do I submit questions during the workshop sessions if I'm watching on YouTube?,"Based on the FAQ, here's how to submit questions during workshop sessions on YouTube:

**Submit questions via Slido**, not in the YouTube chat. The Slido link is typically **pinned in the chat when the workshop goes live**.

Here are the key points:

1. **Don't post in YouTube chat** - Questions in the chat may be missed if the room is very active
2. **Use Slido instead** - Look for the Slido link pinned in the YouTube chat during the live session
3. **Find the stream link** - The video/YouTube link is usually posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before the workshop begins
4. **Watch on DataTalksClub YouTube** - You can find the live stream on the [DataTalksClub YouTube Channel](https://www.youtube.com/c/DataTalksClub)

Using Slido ensures your questions get to the instructors and are more likely to be addressed during the session!","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': {'query': 'submit questions workshop YouTube'}}]",0.003718,489dd1c9d9
Why isn't the Zoom link shared with students for these live events?,"Based on the FAQ, here's why the Zoom link isn't shared with students for live events:

**The Zoom link is intentionally only published to instructors, presenters, and TAs.** 

Instead, students are directed to participate through alternative channels:

1. **YouTube Live** - This is the primary way students watch the live sessions
2. **Slido** - Students submit questions via Slido (the link is pinned in the chat when the session goes live)
3. **Announcements** - The video URL is posted on the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before the session begins
4. **DataTalksClub YouTube Channel** - You can also watch live on the [YouTube channel](https://www.youtube.com/c/DataTalksClub)

An important note: **Don't post questions in the Zoom chat** because they may be missed if the room is very active. Use Slido instead to ensure your questions are seen!","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': {'query': 'Zoom link live events students'}}]",0.003774,489dd1c9d9
Which platform should I use to watch the office hours - is YouTube the only option?,"Based on the FAQ, **YouTube is not the only option** for watching office hours. Here are your options:

1. **YouTube Live** - You can watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub)

2. **Telegram/Slack** - The video URL is posted in the announcements channel on [Telegram](https://t.me/dezoomcamp) and Slack before the session begins

3. **Optional paid alternative** - If you want more structured support, [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/) is a paid community that includes regular Zoom office hours

**A couple of tips:**
- Questions should be submitted through **Slido** (the link is pinned in the chat when live), not in the chat itself, since active chats can cause questions to be missed
- The zoom link is only shared with instructors/presenters/TAs, but students access it through the platforms mentioned above","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': {'query': 'office hours platform YouTube watch'}}]",0.004185,489dd1c9d9
